27.54.166.212:57995,socks4,"2021-06-01 14:50:22"
182.253.220.190:5678,socks4,"2021-06-01 14:49:48"
43.241.30.222:4145,socks4,"2021-06-01 14:49:24"
191.7.194.130:32635,socks4,"2021-06-01 14:48:42"
203.189.154.61:1080,socks4,"2021-06-01 14:47:56"
159.224.244.11:3629,socks4,"2021-06-01 14:47:25"
93.83.108.58:4153,socks4,"2021-06-01 14:46:46"
213.7.196.26:4153,socks4,"2021-06-01 14:45:52"
150.129.171.35:41889,socks4,"2021-06-01 14:46:00"
81.163.254.104:3629,socks4,"2021-06-01 14:43:23"
