Плафон потолочный;Murano;602073;Murano 602073;;СтильКлассический; Высота, мм180; Диаметр, мм520; Масса, кг6,95; Количество ламп, шт7; Цоколь лампE14; Мощность лампы (Max), Вт40; Пылевлагозащита, IPIP20;"СтильКлассический; Высота, мм180; Диаметр, мм520; Масса, кг6,95; Количество ламп, шт7; Цоколь лампE14; Мощность лампы (Max), Вт40; Пылевлагозащита, IPIP20";https://lightstar.ru/kupit-lustry-svetilniki-optom/kupit-lustru-optom/602073
Трек четырехконтактный трехфазный;Barra;504015;Barra 504015;;None;Высота, мм35;None; Масса, кг0,966;None;None;None; Пылевлагозащита, IPIP20;"Высота, мм35; Масса, кг0,966; Пылевлагозащита, IPIP20";https://lightstar.ru/kupit-lustry-svetilniki-optom/kupit-track-optom/shinoprovod-i-aksessuary/504015
Подвесное питание для однофазного трека;Barra;502199;Barra 502199;;None;None;None;Масса, кг0,188;None;None;None;None;Масса, кг0,188;https://lightstar.ru/kupit-lustry-svetilniki-optom/kupit-track-optom/shinoprovod-i-aksessuary/502199
Соединитель X-образный однофазный для встраиваемых треков;Barra;501146;Barra 501146;;None;Высота, мм19;None; Масса, кг0,12;None;None;None; Пылевлагозащита, IPIP20;"Высота, мм19; Масса, кг0,12; Пылевлагозащита, IPIP20";https://lightstar.ru/kupit-lustry-svetilniki-optom/kupit-track-optom/shinoprovod-i-aksessuary/501146
Соединитель регулируемый гибкий однофазный для встраиваемых треков;Barra;501157;Barra 501157;;None;Высота, мм19;None; Масса, кг0,142;None;None;None; Пылевлагозащита, IPIP20;"Высота, мм19; Масса, кг0,142; Пылевлагозащита, IPIP20";https://lightstar.ru/kupit-lustry-svetilniki-optom/kupit-track-optom/shinoprovod-i-aksessuary/501157
Соединитель малый прямой однофазный;Barra;502106;Barra 502106;;None;Высота, мм20;None; Масса, кг0,035;None;None;None; Пылевлагозащита, IPIP20;"Высота, мм20; Масса, кг0,035; Пылевлагозащита, IPIP20";https://lightstar.ru/kupit-lustry-svetilniki-optom/kupit-track-optom/shinoprovod-i-aksessuary/502106
Бра;Anemone;714624;Anemone 714624;;СтильФлористический; Высота, мм400;None; Масса, кг2,5; Количество ламп, шт2; Цоколь лампE14; Мощность лампы (Max), Вт60; Пылевлагозащита, IPIP20;"СтильФлористический; Высота, мм400; Масса, кг2,5; Количество ламп, шт2; Цоколь лампE14; Мощность лампы (Max), Вт60; Пылевлагозащита, IPIP20";https://lightstar.ru/kupit-lustry-svetilniki-optom/kupit-bra-optom/714624
Бра;Acesso;721623;Acesso 721623;;СтильКлассический; Высота, мм400;None; Масса, кг2,5; Количество ламп, шт2; Цоколь лампE14; Мощность лампы (Max), Вт40; Пылевлагозащита, IPIP20;"СтильКлассический; Высота, мм400; Масса, кг2,5; Количество ламп, шт2; Цоколь лампE14; Мощность лампы (Max), Вт40; Пылевлагозащита, IPIP20";https://lightstar.ru/kupit-lustry-svetilniki-optom/kupit-bra-optom/721623
Бра;Aereo;711627;Aereo 711627;;СтильАрт-деко; Высота, мм500;None; Масса, кг0,95; Количество ламп, шт2; Цоколь лампG9; Мощность лампы (Max), Вт25; Пылевлагозащита, IPIP20;"СтильАрт-деко; Высота, мм500; Масса, кг0,95; Количество ламп, шт2; Цоколь лампG9; Мощность лампы (Max), Вт25; Пылевлагозащита, IPIP20";https://lightstar.ru/kupit-lustry-svetilniki-optom/kupit-bra-optom/711627
Бра;Acquario;752634;Acquario 752634;;СтильАрт-деко; Высота, мм230;None; Масса, кг2,1; Количество ламп, шт3; Цоколь лампG4; Мощность лампы (Max), Вт20; Пылевлагозащита, IPIP20;"СтильАрт-деко; Высота, мм230; Масса, кг2,1; Количество ламп, шт3; Цоколь лампG4; Мощность лампы (Max), Вт20; Пылевлагозащита, IPIP20";https://lightstar.ru/kupit-lustry-svetilniki-optom/kupit-bra-optom/752634
Бра;Acquario;753634;Acquario 753634;;СтильАрт-деко; Высота, мм230;None; Масса, кг2,35; Количество ламп, шт3; Цоколь лампG4; Мощность лампы (Max), Вт20; Пылевлагозащита, IPIP20;"СтильАрт-деко; Высота, мм230; Масса, кг2,35; Количество ламп, шт3; Цоколь лампG4; Мощность лампы (Max), Вт20; Пылевлагозащита, IPIP20";https://lightstar.ru/kupit-lustry-svetilniki-optom/kupit-bra-optom/753634
Бра;Amerigo;746618;Amerigo 746618;;СтильХай-тек; Высота, мм145;None; Масса, кг1,6; Количество ламп, шт2; Цоколь лампE14; Мощность лампы (Max), Вт40; Пылевлагозащита, IPIP20;"СтильХай-тек; Высота, мм145; Масса, кг1,6; Количество ламп, шт2; Цоколь лампE14; Мощность лампы (Max), Вт40; Пылевлагозащита, IPIP20";https://lightstar.ru/kupit-lustry-svetilniki-optom/kupit-bra-optom/746618
Бра;Agola;810811;Agola 810811;;СтильАрт-деко; Высота, мм110;None; Масса, кг0,532; Количество ламп, шт1; Цоколь лампG9; Мощность лампы (Max), Вт40; Пылевлагозащита, IPIP20;"СтильАрт-деко; Высота, мм110; Масса, кг0,532; Количество ламп, шт1; Цоколь лампG9; Мощность лампы (Max), Вт40; Пылевлагозащита, IPIP20";https://lightstar.ru/kupit-lustry-svetilniki-optom/kupit-bra-optom/810811
Бра;Agola;810821;Agola 810821;;СтильАрт-деко; Высота, мм120;None; Масса, кг0,805; Количество ламп, шт2; Цоколь лампG9; Мощность лампы (Max), Вт40; Пылевлагозащита, IPIP20;"СтильАрт-деко; Высота, мм120; Масса, кг0,805; Количество ламп, шт2; Цоколь лампG9; Мощность лампы (Max), Вт40; Пылевлагозащита, IPIP20";https://lightstar.ru/kupit-lustry-svetilniki-optom/kupit-bra-optom/810821
Бра;Aereo;711637;Aereo 711637;;СтильАрт-деко; Высота, мм500;None; Масса, кг0,95; Количество ламп, шт2; Цоколь лампG9; Мощность лампы (Max), Вт25; Пылевлагозащита, IPIP20;"СтильАрт-деко; Высота, мм500; Масса, кг0,95; Количество ламп, шт2; Цоколь лампG9; Мощность лампы (Max), Вт25; Пылевлагозащита, IPIP20";https://lightstar.ru/kupit-lustry-svetilniki-optom/kupit-bra-optom/711637
Бра;Alveare;702624;Alveare 702624;;СтильАрт-деко; Высота, мм400;None; Масса, кг1,7; Количество ламп, шт2; Цоколь лампE14; Мощность лампы (Max), Вт40; Пылевлагозащита, IPIP20;"СтильАрт-деко; Высота, мм400; Масса, кг1,7; Количество ламп, шт2; Цоколь лампE14; Мощность лампы (Max), Вт40; Пылевлагозащита, IPIP20";https://lightstar.ru/kupit-lustry-svetilniki-optom/kupit-bra-optom/702624
Бра;Alveare;702622;Alveare 702622;;СтильАрт-деко; Высота, мм400;None; Масса, кг1,7; Количество ламп, шт2; Цоколь лампE14; Мощность лампы (Max), Вт40; Пылевлагозащита, IPIP20;"СтильАрт-деко; Высота, мм400; Масса, кг1,7; Количество ламп, шт2; Цоколь лампE14; Мощность лампы (Max), Вт40; Пылевлагозащита, IPIP20";https://lightstar.ru/kupit-lustry-svetilniki-optom/kupit-bra-optom/702622
Бра;Agola;810813;Agola 810813;;СтильАрт-деко; Высота, мм110;None; Масса, кг0,532; Количество ламп, шт1; Цоколь лампG9; Мощность лампы (Max), Вт40; Пылевлагозащита, IPIP20;"СтильАрт-деко; Высота, мм110; Масса, кг0,532; Количество ламп, шт1; Цоколь лампG9; Мощность лампы (Max), Вт40; Пылевлагозащита, IPIP20";https://lightstar.ru/kupit-lustry-svetilniki-optom/kupit-bra-optom/810813
Бра;Agola;810823;Agola 810823;;СтильАрт-деко; Высота, мм120;None; Масса, кг0,805; Количество ламп, шт2; Цоколь лампG9; Мощность лампы (Max), Вт40; Пылевлагозащита, IPIP20;"СтильАрт-деко; Высота, мм120; Масса, кг0,805; Количество ламп, шт2; Цоколь лампG9; Мощность лампы (Max), Вт40; Пылевлагозащита, IPIP20";https://lightstar.ru/kupit-lustry-svetilniki-optom/kupit-bra-optom/810823
Бра;Ampollo;786622;Ampollo 786622;;СтильАрт-деко; Высота, мм470;None; Масса, кг3,4; Количество ламп, шт2; Цоколь лампE14; Мощность лампы (Max), Вт60; Пылевлагозащита, IPIP20;"СтильАрт-деко; Высота, мм470; Масса, кг3,4; Количество ламп, шт2; Цоколь лампE14; Мощность лампы (Max), Вт60; Пылевлагозащита, IPIP20";https://lightstar.ru/kupit-lustry-svetilniki-optom/kupit-bra-optom/786622
