Полный путь;Главный раздел;Раздел 1;Раздел 2;Раздел 3;Наименование;ID;Коллекция;Стиль;Высота;Масса;Материал арматуры;Пылевлагозащита;Диаметр; Количество ламп; Цвет арматуры;Цвет плафона (Декора);Мощность лампы (Max);Цоколь ламп;Общее описание;URL
"Главная; Светотехника; Бра; Бра Melagro 695612";Главная; Светотехника; Бра;None; Бра Melagro 695612;695612;Melagro;Арт-деко; мм420;кг1,35;Металл;IPIP20;None; шт1;Золото;None;Вт60;E14;"КоллекцияMelagro; СтильАрт-деко; Пылевлагозащита, IPIP20; Высота, мм420; Масса, кг1,35; Количество ламп, шт1; Цвет арматурыЗолото; Мощность лампы (Max), Вт60; Цоколь лампE14; Артикул695612; КоллекцияMelagro; СтильАрт-деко; Зона размещенияЖилая / Общественная; Количество рожков, шт (если 0 - нет)1; Коэфф пропускания плафоном света, 0-11; Пылевлагозащита, IPIP20; Направление рожков, Вверх/ВнизВверх; Суммарная мощность LED, Вт6; Суммарная мощность ЛОН, Вт60; Масса, кг1,35; Крепление, На планку / На крюк / ПружинноеНа планку; Монтаж, Врезной / НакладнойНакладной; Длина (Глубина), мм315; Высота, мм420; Ширина, мм160; Глубина (высота) основания (отверстия встройки), мм420; Ширина основания (отверстия встройки), мм160; Цвет арматурыЗолото; Цвет подвесокГранат; Цвет рожковЗолото; Цвет чашФиолетовый; Материал арматурыМеталл; Материал подвесокХрусталь; Материал рожковМеталл; Материал чашСтекло; Количество ламп, шт1; Цоколь лампE14; Мощность лампы (Max), Вт60; Напряжение питания ламп, В220; Тип лампыГЛН / LED / КЛЛ; Типоразмер лампыA / C / CA / G / P / T";https://lightstar.ru/kupit-lustry-svetilniki-optom/kupit-bra-optom/695612
"Главная; Светотехника; Трековые системы; Трековые светильники; Комплект со светильником Forte Forte Muro A3T214817";Главная; Светотехника; Трековые системы; Трековые светильники; Комплект со светильником Forte Forte Muro A3T214817;A3T214817;Forte Muro;Хай-тек; мм130;None;Металл;IPIP20;мм80;None;Черный;Черный;None;None;"КоллекцияForte Muro; СтильХай-тек; Пылевлагозащита, IPIP20; Высота, мм130; Диаметр, мм80; Цвет арматурыЧерный; Цвет плафона (Декора)Черный; АртикулA3T214817; КоллекцияForte Muro; СтильХай-тек; Зона размещенияЖилая / Общественная; Встроенные светодиоды, Да/НетДа; Количество плафонов (декор элем встройки), шт (если 0 - нет)1; Пылевлагозащита, IPIP20; Количество фазТрехфазные; Суммарная мощность LED, Вт15; Суммарная мощность ЛОН, Вт150; Цветовая темп., К4000; Световой поток, лм (для лент Лм/м)1400; Угол рассеивания рефлектора, °30; Срок службы, ч20000; Угол поворота по вертикали, °360; Диаметр, мм80; Высота, мм130; Цвет арматурыЧерный; Цвет плафона (Декора)Черный; Материал арматурыМеталл; Материал плафона (Декора)Металл; Напряжение питания ламп, В220";https://lightstar.ru/kupit-lustry-svetilniki-optom/kupit-track-optom/trekovye-svetilniki/a3t214817
"Главная; Светотехника; Трековые системы; Трековые светильники; Светильник светодиодный для 1-фазного трека Fuoco 215239";Главная; Светотехника; Трековые системы; Трековые светильники; Светильник светодиодный для 1-фазного трека Fuoco 215239;215239;Fuoco;None; мм240;кг0,484;Металл / Пластик;IPIP20;мм60;None;Серый;Серый;None;None;"КоллекцияFuoco; Пылевлагозащита, IPIP20; Высота, мм240; Диаметр, мм60; Масса, кг0,484; Цвет арматурыСерый; Цвет плафона (Декора)Серый; Количество в упаковке12; Артикул215239; КоллекцияFuoco; Зона размещенияЖилая / Общественная; Встроенные светодиоды, Да/НетДа; Количество плафонов (декор элем встройки), шт (если 0 - нет)1; Пылевлагозащита, IPIP20; Количество фазОднофазные; Суммарная мощность LED, Вт15; Суммарная мощность ЛОН, Вт150; Цветовая темп., К3000; Световой поток, лм (для лент Лм/м)950; Угол рассеивания рефлектора, °5-60; Срок службы, ч20000; Масса, кг0,484; Диаметр, мм60; Высота, мм240; Цвет арматурыСерый; Цвет плафона (Декора)Серый; Материал арматурыМеталл / Пластик; Материал плафона (Декора)Металл; Напряжение питания ламп, В220";https://lightstar.ru/kupit-lustry-svetilniki-optom/kupit-track-optom/trekovye-svetilniki/215239
"Главная; Светотехника; Трековые системы; Трековые светильники; Комплект со светильником Canno Canno C326296";Главная; Светотехника; Трековые системы; Трековые светильники; Комплект со светильником Canno Canno C326296;C326296;Canno;None; мм300;кг1,058;Металл / Пластик;IPIP20;None;None;Белый;Белый;None;None;"КоллекцияCanno; Пылевлагозащита, IPIP20; Высота, мм300; Масса, кг1,058; Цвет арматурыБелый; Цвет плафона (Декора)Белый; АртикулC326296; КоллекцияCanno; Зона размещенияЖилая / Общественная; Встроенные светодиоды, Да/НетДа; Количество плафонов (декор элем встройки), шт (если 0 - нет)1; Пылевлагозащита, IPIP20; Количество фазОднофазные; Суммарная мощность LED, Вт35; Суммарная мощность ЛОН, Вт350; Цветовая темп., К3000; Световой поток, лм (для лент Лм/м)2240; Угол рассеивания рефлектора, °45; Срок службы, ч20000; Масса, кг1,058; Длина (Глубина), мм120; Высота, мм300; Ширина, мм100; Цвет арматурыБелый; Цвет плафона (Декора)Белый; Материал арматурыМеталл / Пластик; Материал плафона (Декора)Металл; Напряжение питания ламп, В220";https://lightstar.ru/kupit-lustry-svetilniki-optom/kupit-track-optom/trekovye-svetilniki/c326296
"Главная; Светотехника; Трековые системы; Трековые светильники; Комплект со светильником Forte Forte Muro A3T213830";Главная; Светотехника; Трековые системы; Трековые светильники; Комплект со светильником Forte Forte Muro A3T213830;A3T213830;Forte Muro;Хай-тек; мм195;кг1,495;Металл;IPIP20;мм126;None;Белый / Черный;Белый / Черный;None;None;"КоллекцияForte Muro; СтильХай-тек; Пылевлагозащита, IPIP20; Высота, мм195; Диаметр, мм126; Масса, кг1,495; Цвет арматурыБелый / Черный; Цвет плафона (Декора)Белый / Черный; АртикулA3T213830; КоллекцияForte Muro; СтильХай-тек; Зона размещенияЖилая / Общественная; Встроенные светодиоды, Да/НетДа; Количество плафонов (декор элем встройки), шт (если 0 - нет)1; Пылевлагозащита, IPIP20; Количество фазТрехфазные; Суммарная мощность LED, Вт26; Суммарная мощность ЛОН, Вт260; Цветовая темп., К3000; Световой поток, лм (для лент Лм/м)1950; Угол рассеивания рефлектора, °30; Срок службы, ч20000; Угол поворота по вертикали, °360; Масса, кг1,495; Диаметр, мм126; Высота, мм195; Цвет арматурыБелый / Черный; Цвет плафона (Декора)Белый / Черный; Материал арматурыМеталл; Материал плафона (Декора)Металл; Напряжение питания ламп, В220";https://lightstar.ru/kupit-lustry-svetilniki-optom/kupit-track-optom/trekovye-svetilniki/a3t213830
"Главная; Светотехника; Трековые системы; Трековые светильники; Светильник светодиодный для 1-фазного трека Fuoco 215246";Главная; Светотехника; Трековые системы; Трековые светильники; Светильник светодиодный для 1-фазного трека Fuoco 215246;215246;Fuoco;None; мм240;кг0,489;Металл / Пластик;IPIP20;мм60;None;Белый;Белый;None;None;"КоллекцияFuoco; Пылевлагозащита, IPIP20; Высота, мм240; Диаметр, мм60; Масса, кг0,489; Цвет арматурыБелый; Цвет плафона (Декора)Белый; Количество в упаковке12; Артикул215246; КоллекцияFuoco; Зона размещенияЖилая / Общественная; Встроенные светодиоды, Да/НетДа; Количество плафонов (декор элем встройки), шт (если 0 - нет)1; Пылевлагозащита, IPIP20; Количество фазОднофазные; Суммарная мощность LED, Вт15; Суммарная мощность ЛОН, Вт150; Цветовая темп., К4000; Световой поток, лм (для лент Лм/м)950; Угол рассеивания рефлектора, °5-60; Срок службы, ч20000; Масса, кг0,489; Диаметр, мм60; Высота, мм240; Цвет арматурыБелый; Цвет плафона (Декора)Белый; Материал арматурыМеталл / Пластик; Материал плафона (Декора)Металл; Напряжение питания ламп, В220";https://lightstar.ru/kupit-lustry-svetilniki-optom/kupit-track-optom/trekovye-svetilniki/215246
"Главная; Светотехника; Бра; Бра Melagro 695622";Главная; Светотехника; Бра;None; Бра Melagro 695622;695622;Melagro;Арт-деко; мм420;кг2,3;Металл;IPIP20;None; шт2;Золото;None;Вт60;E14;"КоллекцияMelagro; СтильАрт-деко; Пылевлагозащита, IPIP20; Высота, мм420; Масса, кг2,3; Количество ламп, шт2; Цвет арматурыЗолото; Мощность лампы (Max), Вт60; Цоколь лампE14; Артикул695622; КоллекцияMelagro; СтильАрт-деко; Зона размещенияЖилая / Общественная; Количество рожков, шт (если 0 - нет)2; Коэфф пропускания плафоном света, 0-11; Пылевлагозащита, IPIP20; Направление рожков, Вверх/ВнизВверх; Суммарная мощность LED, Вт12; Суммарная мощность ЛОН, Вт120; Масса, кг2,3; Крепление, На планку / На крюк / ПружинноеНа планку; Монтаж, Врезной / НакладнойНакладной; Длина (Глубина), мм280; Высота, мм420; Ширина, мм420; Глубина (высота) основания (отверстия встройки), мм420; Ширина основания (отверстия встройки), мм160; Цвет арматурыЗолото; Цвет подвесокГранат; Цвет рожковЗолото; Цвет чашФиолетовый; Материал арматурыМеталл; Материал подвесокХрусталь; Материал рожковМеталл; Материал чашСтекло; Количество ламп, шт2; Цоколь лампE14; Мощность лампы (Max), Вт60; Напряжение питания ламп, В220; Тип лампыГЛН / LED / КЛЛ; Типоразмер лампыA / C / CA / G / P / T";https://lightstar.ru/kupit-lustry-svetilniki-optom/kupit-bra-optom/695622
"Главная; Светотехника; Трековые системы; Трековые светильники; Комплект со светильником Canno Canno C326496";Главная; Светотехника; Трековые системы; Трековые светильники; Комплект со светильником Canno Canno C326496;C326496;Canno;None; мм300;кг1,058;Металл / Пластик;IPIP20;None;None;Белый;Белый;None;None;"КоллекцияCanno; Пылевлагозащита, IPIP20; Высота, мм300; Масса, кг1,058; Цвет арматурыБелый; Цвет плафона (Декора)Белый; АртикулC326496; КоллекцияCanno; Зона размещенияЖилая / Общественная; Встроенные светодиоды, Да/НетДа; Количество плафонов (декор элем встройки), шт (если 0 - нет)1; Пылевлагозащита, IPIP20; Количество фазОднофазные; Суммарная мощность LED, Вт35; Суммарная мощность ЛОН, Вт350; Цветовая темп., К4000; Световой поток, лм (для лент Лм/м)2240; Угол рассеивания рефлектора, °45; Срок службы, ч20000; Масса, кг1,058; Длина (Глубина), мм120; Высота, мм300; Ширина, мм100; Цвет арматурыБелый; Цвет плафона (Декора)Белый; Материал арматурыМеталл / Пластик; Материал плафона (Декора)Металл; Напряжение питания ламп, В220";https://lightstar.ru/kupit-lustry-svetilniki-optom/kupit-track-optom/trekovye-svetilniki/c326496
"Главная; Светотехника; Трековые системы; Трековые светильники; Светильник светодиодный для 1-фазного трека Fuoco 215247";Главная; Светотехника; Трековые системы; Трековые светильники; Светильник светодиодный для 1-фазного трека Fuoco 215247;215247;Fuoco;None; мм240;кг0,489;Металл / Пластик;IPIP20;мм60;None;Черный;Черный;None;None;"КоллекцияFuoco; Пылевлагозащита, IPIP20; Высота, мм240; Диаметр, мм60; Масса, кг0,489; Цвет арматурыЧерный; Цвет плафона (Декора)Черный; Количество в упаковке12; Артикул215247; КоллекцияFuoco; Зона размещенияЖилая / Общественная; Встроенные светодиоды, Да/НетДа; Количество плафонов (декор элем встройки), шт (если 0 - нет)1; Пылевлагозащита, IPIP20; Количество фазОднофазные; Суммарная мощность LED, Вт15; Суммарная мощность ЛОН, Вт150; Цветовая темп., К4000; Световой поток, лм (для лент Лм/м)950; Угол рассеивания рефлектора, °5-60; Срок службы, ч20000; Масса, кг0,489; Диаметр, мм60; Высота, мм240; Цвет арматурыЧерный; Цвет плафона (Декора)Черный; Материал арматурыМеталл / Пластик; Материал плафона (Декора)Металл; Напряжение питания ламп, В220";https://lightstar.ru/kupit-lustry-svetilniki-optom/kupit-track-optom/trekovye-svetilniki/215247
"Главная; Светотехника; Трековые системы; Трековые светильники; Комплект со светильником Forte Forte Muro A3T214857";Главная; Светотехника; Трековые системы; Трековые светильники; Комплект со светильником Forte Forte Muro A3T214857;A3T214857;Forte Muro;Хай-тек; мм195;кг1,495;Металл;IPIP20;мм126;None;Черный;Черный;None;None;"КоллекцияForte Muro; СтильХай-тек; Пылевлагозащита, IPIP20; Высота, мм195; Диаметр, мм126; Масса, кг1,495; Цвет арматурыЧерный; Цвет плафона (Декора)Черный; АртикулA3T214857; КоллекцияForte Muro; СтильХай-тек; Зона размещенияЖилая / Общественная; Встроенные светодиоды, Да/НетДа; Количество плафонов (декор элем встройки), шт (если 0 - нет)1; Пылевлагозащита, IPIP20; Количество фазТрехфазные; Суммарная мощность LED, Вт40; Суммарная мощность ЛОН, Вт400; Цветовая темп., К4000; Световой поток, лм (для лент Лм/м)3400; Угол рассеивания рефлектора, °30; Срок службы, ч20000; Угол поворота по вертикали, °360; Масса, кг1,495; Диаметр, мм126; Высота, мм195; Цвет арматурыЧерный; Цвет плафона (Декора)Черный; Материал арматурыМеталл; Материал плафона (Декора)Металл; Напряжение питания ламп, В220";https://lightstar.ru/kupit-lustry-svetilniki-optom/kupit-track-optom/trekovye-svetilniki/a3t214857
"Главная; Светотехника; Люстры; Люстра подвесная Rosata 696062";Главная; Светотехника; Люстры;None; Люстра подвесная Rosata 696062;696062;Rosata;Флористический; мм590;кг14,85;Металл;IPIP20;мм700; шт6;Золото;Матовый / Розовый;Вт60;E14;"КоллекцияRosata; СтильФлористический; Пылевлагозащита, IPIP20; Высота, мм590; Диаметр, мм700; Масса, кг14,85; Количество ламп, шт6; Цвет арматурыЗолото; Цвет плафона (Декора)Матовый / Розовый; Мощность лампы (Max), Вт60; Цоколь лампE14; Артикул696062; КоллекцияRosata; СтильФлористический; Зона размещенияЖилая / Общественная; Тип люстрыПодвесная; Количество плафонов (декор элем встройки), шт (если 0 - нет)6; Количество рожков, шт (если 0 - нет)6; Коэфф пропускания плафоном света, 0-10,8; Пылевлагозащита, IPIP20; Направление рожков, Вверх/ВнизВниз; Суммарная мощность LED, Вт36; Суммарная мощность ЛОН, Вт360; Масса, кг14,85; Тип крепления плафона, На арматуру / На лампуНа патрон; Крепление, На планку / На крюк / ПружинноеНа крюк; Монтаж, Врезной / НакладнойПодвесной; Диаметр, мм700; Высота, мм590; Высота min, мм800; Высота max, мм1800; Диаметр основания (отверстия встройки), мм120; Глубина (высота) основания (отверстия встройки), мм100; Цвет арматурыЗолото; Цвет плафона (Декора)Матовый / Розовый; Цвет подвесокПрозрачный; Цвет рожковЗолото; Материал арматурыМеталл; Материал плафона (Декора)Стекло; Материал подвесокХрусталь; Материал рожковМеталл; Количество ламп, шт6; Цоколь лампE14; Мощность лампы (Max), Вт60; Напряжение питания ламп, В220; Тип лампыГЛН / LED / КЛЛ; Типоразмер лампыC / CA / P / T";https://lightstar.ru/kupit-lustry-svetilniki-optom/kupit-lustru-optom/696062
"Главная; Светотехника; Трековые системы; Трековые светильники; Комплект со светильником Canno Canno C356296";Главная; Светотехника; Трековые системы; Трековые светильники; Комплект со светильником Canno Canno C356296;C356296;Canno;None; мм300;кг1,078;Металл / Пластик;IPIP20;None;None;Белый;Белый;None;None;"КоллекцияCanno; Пылевлагозащита, IPIP20; Высота, мм300; Масса, кг1,078; Цвет арматурыБелый; Цвет плафона (Декора)Белый; АртикулC356296; КоллекцияCanno; Зона размещенияЖилая / Общественная; Встроенные светодиоды, Да/НетДа; Количество плафонов (декор элем встройки), шт (если 0 - нет)1; Пылевлагозащита, IPIP20; Количество фазТрехфазные; Суммарная мощность LED, Вт35; Суммарная мощность ЛОН, Вт350; Цветовая темп., К3000; Световой поток, лм (для лент Лм/м)2240; Угол рассеивания рефлектора, °45; Срок службы, ч20000; Масса, кг1,078; Длина (Глубина), мм120; Высота, мм300; Ширина, мм100; Цвет арматурыБелый; Цвет плафона (Декора)Белый; Материал арматурыМеталл / Пластик; Материал плафона (Декора)Металл; Напряжение питания ламп, В220";https://lightstar.ru/kupit-lustry-svetilniki-optom/kupit-track-optom/trekovye-svetilniki/c356296
"Главная; Светотехника; Трековые системы; Трековые светильники; Комплект со светильником Forte Forte Muro A3T213839";Главная; Светотехника; Трековые системы; Трековые светильники; Комплект со светильником Forte Forte Muro A3T213839;A3T213839;Forte Muro;Хай-тек; мм195;кг1,495;Металл;IPIP20;мм126;None;Серый / Черный;Серый / Черный;None;None;"КоллекцияForte Muro; СтильХай-тек; Пылевлагозащита, IPIP20; Высота, мм195; Диаметр, мм126; Масса, кг1,495; Цвет арматурыСерый / Черный; Цвет плафона (Декора)Серый / Черный; АртикулA3T213839; КоллекцияForte Muro; СтильХай-тек; Зона размещенияЖилая / Общественная; Встроенные светодиоды, Да/НетДа; Количество плафонов (декор элем встройки), шт (если 0 - нет)1; Пылевлагозащита, IPIP20; Количество фазТрехфазные; Суммарная мощность LED, Вт26; Суммарная мощность ЛОН, Вт260; Цветовая темп., К3000; Световой поток, лм (для лент Лм/м)1950; Угол рассеивания рефлектора, °30; Срок службы, ч20000; Угол поворота по вертикали, °360; Масса, кг1,495; Диаметр, мм126; Высота, мм195; Цвет арматурыСерый / Черный; Цвет плафона (Декора)Серый / Черный; Материал арматурыМеталл; Материал плафона (Декора)Металл; Напряжение питания ламп, В220";https://lightstar.ru/kupit-lustry-svetilniki-optom/kupit-track-optom/trekovye-svetilniki/a3t213839
"Главная; Светотехника; Трековые системы; Трековые светильники; Светильник светодиодный для 1-фазного трека Fuoco 215249";Главная; Светотехника; Трековые системы; Трековые светильники; Светильник светодиодный для 1-фазного трека Fuoco 215249;215249;Fuoco;None; мм240;кг0,489;Металл / Пластик;IPIP20;мм60;None;Серый;Серый;None;None;"КоллекцияFuoco; Пылевлагозащита, IPIP20; Высота, мм240; Диаметр, мм60; Масса, кг0,489; Цвет арматурыСерый; Цвет плафона (Декора)Серый; Количество в упаковке12; Артикул215249; КоллекцияFuoco; Зона размещенияЖилая / Общественная; Встроенные светодиоды, Да/НетДа; Количество плафонов (декор элем встройки), шт (если 0 - нет)1; Пылевлагозащита, IPIP20; Количество фазОднофазные; Суммарная мощность LED, Вт15; Суммарная мощность ЛОН, Вт150; Цветовая темп., К4000; Световой поток, лм (для лент Лм/м)950; Угол рассеивания рефлектора, °5-60; Срок службы, ч20000; Масса, кг0,489; Диаметр, мм60; Высота, мм240; Цвет арматурыСерый; Цвет плафона (Декора)Серый; Материал арматурыМеталл / Пластик; Материал плафона (Декора)Металл; Напряжение питания ламп, В220";https://lightstar.ru/kupit-lustry-svetilniki-optom/kupit-track-optom/trekovye-svetilniki/215249
"Главная; Светотехника; Трековые системы; Трековые светильники; Комплект со светильником Canno Canno C356496";Главная; Светотехника; Трековые системы; Трековые светильники; Комплект со светильником Canno Canno C356496;C356496;Canno;None; мм300;кг1,078;Металл / Пластик;IPIP20;None;None;Белый;Белый;None;None;"КоллекцияCanno; Пылевлагозащита, IPIP20; Высота, мм300; Масса, кг1,078; Цвет арматурыБелый; Цвет плафона (Декора)Белый; АртикулC356496; КоллекцияCanno; Зона размещенияЖилая / Общественная; Встроенные светодиоды, Да/НетДа; Количество плафонов (декор элем встройки), шт (если 0 - нет)1; Пылевлагозащита, IPIP20; Количество фазТрехфазные; Суммарная мощность LED, Вт35; Суммарная мощность ЛОН, Вт350; Цветовая темп., К4000; Световой поток, лм (для лент Лм/м)2240; Угол рассеивания рефлектора, °45; Срок службы, ч20000; Масса, кг1,078; Длина (Глубина), мм120; Высота, мм300; Ширина, мм100; Цвет арматурыБелый; Цвет плафона (Декора)Белый; Материал арматурыМеталл / Пластик; Материал плафона (Декора)Металл; Напряжение питания ламп, В220";https://lightstar.ru/kupit-lustry-svetilniki-optom/kupit-track-optom/trekovye-svetilniki/c356496
"Главная; Светотехника; Трековые системы; Трековые светильники; Комплект со светильником Illumo Illumo F A1T051016";Главная; Светотехника; Трековые системы; Трековые светильники; Комплект со светильником Illumo Illumo F A1T051016;A1T051016;Illumo F;Хай-тек; мм207;кг0,656;Металл;IPIP20;None; шт1;Белый;Белый / Прозрачный;Вт50;GU10;"КоллекцияIllumo F; СтильХай-тек; Пылевлагозащита, IPIP20; Высота, мм207; Масса, кг0,656; Количество ламп, шт1; Цвет арматурыБелый; Цвет плафона (Декора)Белый / Прозрачный; Мощность лампы (Max), Вт50; Цоколь лампGU10; АртикулA1T051016; КоллекцияIllumo F; СтильХай-тек; Зона размещенияЖилая / Общественная; Количество плафонов (декор элем встройки), шт (если 0 - нет)1; Пылевлагозащита, IPIP20; Количество фазОднофазные; Суммарная мощность LED, Вт6; Суммарная мощность ЛОН, Вт50; Угол поворота по вертикали, °360; Угол поворота по горизонтали, °360; Масса, кг0,656; Длина (Глубина), мм65; Высота, мм207; Ширина, мм60; Цвет арматурыБелый; Цвет плафона (Декора)Белый / Прозрачный; Материал арматурыМеталл; Материал плафона (Декора)Металл / Стекло; Количество ламп, шт1; Цоколь лампGU10; Мощность лампы (Max), Вт50; Напряжение питания ламп, В220; Тип лампыГЛН / LED; Типоразмер лампыHP16";https://lightstar.ru/kupit-lustry-svetilniki-optom/kupit-track-optom/trekovye-svetilniki/a1t051016
"Главная; Светотехника; Трековые системы; Трековые светильники; Комплект с подвесом Cone Cone L1T757016";Главная; Светотехника; Трековые системы; Трековые светильники; Комплект с подвесом Cone Cone L1T757016;L1T757016;Cone;Хай-тек; мм230;кг0,736;Металл;IPIP20;мм120; шт1;Матовый Белый;Белый / Прозрачный / Матовый;Вт40;GU10;"КоллекцияCone; СтильХай-тек; Пылевлагозащита, IPIP20; Высота, мм230; Диаметр, мм120; Масса, кг0,736; Количество ламп, шт1; Цвет арматурыМатовый Белый; Цвет плафона (Декора)Белый / Прозрачный / Матовый; Мощность лампы (Max), Вт40; Цоколь лампGU10; АртикулL1T757016; КоллекцияCone; СтильХай-тек; Зона размещенияЖилая / Общественная; Количество плафонов (декор элем встройки), шт (если 0 - нет)1; Количество рожков, шт (если 0 - нет)1; Коэфф пропускания плафоном света, 0-10,7; Пылевлагозащита, IPIP20; Направление рожков, Вверх/ВнизВниз; Количество фазОднофазные; Суммарная мощность LED, Вт6; Суммарная мощность ЛОН, Вт40; Масса, кг0,736; Тип крепления плафона, На арматуру / На лампуНа арматуру; Диаметр, мм120; Высота, мм230; Высота min, мм339; Высота max, мм1539; Цвет арматурыМатовый Белый; Цвет плафона (Декора)Белый / Прозрачный / Матовый; Цвет рожковМатовый Белый; Материал арматурыМеталл; Материал плафона (Декора)Стекло / Металл; Материал рожковМеталл; Количество ламп, шт1; Цоколь лампGU10; Мощность лампы (Max), Вт40; Напряжение питания ламп, В220; Тип лампыГЛН / LED; Типоразмер лампыHP16";https://lightstar.ru/kupit-lustry-svetilniki-optom/kupit-track-optom/trekovye-svetilniki/l1t757016
"Главная; Светотехника; Трековые системы; Трековые светильники; Комплект со светильником Canno Canno C357297";Главная; Светотехника; Трековые системы; Трековые светильники; Комплект со светильником Canno Canno C357297;C357297;Canno;None; мм300;кг1,078;Металл / Пластик;IPIP20;None;None;Черный;Черный;None;None;"КоллекцияCanno; Пылевлагозащита, IPIP20; Высота, мм300; Масса, кг1,078; Цвет арматурыЧерный; Цвет плафона (Декора)Черный; АртикулC357297; КоллекцияCanno; Зона размещенияЖилая / Общественная; Встроенные светодиоды, Да/НетДа; Количество плафонов (декор элем встройки), шт (если 0 - нет)1; Пылевлагозащита, IPIP20; Количество фазТрехфазные; Суммарная мощность LED, Вт35; Суммарная мощность ЛОН, Вт350; Цветовая темп., К3000; Световой поток, лм (для лент Лм/м)2240; Угол рассеивания рефлектора, °45; Срок службы, ч20000; Масса, кг1,078; Длина (Глубина), мм120; Высота, мм300; Ширина, мм100; Цвет арматурыЧерный; Цвет плафона (Декора)Черный; Материал арматурыМеталл / Пластик; Материал плафона (Декора)Металл; Напряжение питания ламп, В220";https://lightstar.ru/kupit-lustry-svetilniki-optom/kupit-track-optom/trekovye-svetilniki/c357297
"Главная; Светотехника; Люстры; Люстра подвесная Rosata 696082";Главная; Светотехника; Люстры;None; Люстра подвесная Rosata 696082;696082;Rosata;Флористический; мм590;кг18,9;Металл;IPIP20;мм800; шт8;Золото;Матовый / Розовый;Вт60;E14;"КоллекцияRosata; СтильФлористический; Пылевлагозащита, IPIP20; Высота, мм590; Диаметр, мм800; Масса, кг18,9; Количество ламп, шт8; Цвет арматурыЗолото; Цвет плафона (Декора)Матовый / Розовый; Мощность лампы (Max), Вт60; Цоколь лампE14; Артикул696082; КоллекцияRosata; СтильФлористический; Зона размещенияЖилая / Общественная; Тип люстрыПодвесная; Количество плафонов (декор элем встройки), шт (если 0 - нет)8; Количество рожков, шт (если 0 - нет)8; Коэфф пропускания плафоном света, 0-10,8; Пылевлагозащита, IPIP20; Направление рожков, Вверх/ВнизВниз; Суммарная мощность LED, Вт48; Суммарная мощность ЛОН, Вт480; Масса, кг18,9; Тип крепления плафона, На арматуру / На лампуНа патрон; Крепление, На планку / На крюк / ПружинноеНа крюк; Монтаж, Врезной / НакладнойПодвесной; Диаметр, мм800; Высота, мм590; Высота min, мм800; Высота max, мм1800; Диаметр основания (отверстия встройки), мм120; Глубина (высота) основания (отверстия встройки), мм100; Цвет арматурыЗолото; Цвет плафона (Декора)Матовый / Розовый; Цвет подвесокПрозрачный; Цвет рожковЗолото; Материал арматурыМеталл; Материал плафона (Декора)Стекло; Материал подвесокХрусталь; Материал рожковМеталл; Количество ламп, шт8; Цоколь лампE14; Мощность лампы (Max), Вт60; Напряжение питания ламп, В220; Тип лампыГЛН / LED / КЛЛ; Типоразмер лампыC / CA / P / T";https://lightstar.ru/kupit-lustry-svetilniki-optom/kupit-lustru-optom/696082
"Главная; Светотехника; Трековые системы; Трековые светильники; Комплект с подвесом Cone Cone L1T757017";Главная; Светотехника; Трековые системы; Трековые светильники; Комплект с подвесом Cone Cone L1T757017;L1T757017;Cone;Хай-тек; мм230;кг0,736;Металл;IPIP20;мм120; шт1;Матовый Черный;Прозрачный / Матовый Черный;Вт40;GU10;"КоллекцияCone; СтильХай-тек; Пылевлагозащита, IPIP20; Высота, мм230; Диаметр, мм120; Масса, кг0,736; Количество ламп, шт1; Цвет арматурыМатовый Черный; Цвет плафона (Декора)Прозрачный / Матовый Черный; Мощность лампы (Max), Вт40; Цоколь лампGU10; АртикулL1T757017; КоллекцияCone; СтильХай-тек; Зона размещенияЖилая / Общественная; Количество плафонов (декор элем встройки), шт (если 0 - нет)1; Количество рожков, шт (если 0 - нет)1; Коэфф пропускания плафоном света, 0-10,7; Пылевлагозащита, IPIP20; Направление рожков, Вверх/ВнизВниз; Количество фазОднофазные; Суммарная мощность LED, Вт6; Суммарная мощность ЛОН, Вт40; Масса, кг0,736; Тип крепления плафона, На арматуру / На лампуНа арматуру; Диаметр, мм120; Высота, мм230; Высота min, мм339; Высота max, мм1539; Цвет арматурыМатовый Черный; Цвет плафона (Декора)Прозрачный / Матовый Черный; Цвет рожковМатовый Черный; Материал арматурыМеталл; Материал плафона (Декора)Стекло / Металл; Материал рожковМеталл; Количество ламп, шт1; Цоколь лампGU10; Мощность лампы (Max), Вт40; Напряжение питания ламп, В220; Тип лампыГЛН / LED; Типоразмер лампыHP16";https://lightstar.ru/kupit-lustry-svetilniki-optom/kupit-track-optom/trekovye-svetilniki/l1t757017
