INFO:root:Парсим CHAL 74 LENS WW в категории {'name': 'Chalice 74', 'url': 'http://www.thornlighting.ru/ru-ru/produkty/vnutriennieie-osvieshchieniie/svietilniki-tipa-downlight/Chalice_74'}
INFO:root:Парсим CHAL 74 TRIM BKM в категории {'name': 'Chalice 74', 'url': 'http://www.thornlighting.ru/ru-ru/produkty/vnutriennieie-osvieshchieniie/svietilniki-tipa-downlight/Chalice_74'}
INFO:root:Парсим CHAL 74 TRIM WH в категории {'name': 'Chalice 74', 'url': 'http://www.thornlighting.ru/ru-ru/produkty/vnutriennieie-osvieshchieniie/svietilniki-tipa-downlight/Chalice_74'}
INFO:root:Парсим CHAL 74 LED550-840 WFL IP65 WHM в категории {'name': 'Chalice 74', 'url': 'http://www.thornlighting.ru/ru-ru/produkty/vnutriennieie-osvieshchieniie/svietilniki-tipa-downlight/Chalice_74'}
INFO:root:Парсим CHAL 74 LED900-840 WFL IP65 WHM в категории {'name': 'Chalice 74', 'url': 'http://www.thornlighting.ru/ru-ru/produkty/vnutriennieie-osvieshchieniie/svietilniki-tipa-downlight/Chalice_74'}
INFO:root:Парсим CHAL 74 LENS WFL в категории {'name': 'Chalice 74', 'url': 'http://www.thornlighting.ru/ru-ru/produkty/vnutriennieie-osvieshchieniie/svietilniki-tipa-downlight/Chalice_74'}
INFO:root:Парсим CHAL 74 TRIM AL в категории {'name': 'Chalice 74', 'url': 'http://www.thornlighting.ru/ru-ru/produkty/vnutriennieie-osvieshchieniie/svietilniki-tipa-downlight/Chalice_74'}
INFO:root:Парсим CHAL 74 TRIM CR в категории {'name': 'Chalice 74', 'url': 'http://www.thornlighting.ru/ru-ru/produkty/vnutriennieie-osvieshchieniie/svietilniki-tipa-downlight/Chalice_74'}
INFO:root:Парсим CHAL 74 TRIM WHM в категории {'name': 'Chalice 74', 'url': 'http://www.thornlighting.ru/ru-ru/produkty/vnutriennieie-osvieshchieniie/svietilniki-tipa-downlight/Chalice_74'}
INFO:root:Парсим CHAL PRO LED1100-830 HFIX RMB W6 в категории {'name': 'Chalice Pro', 'url': 'http://www.thornlighting.ru/ru-ru/produkty/vnutriennieie-osvieshchieniie/svietilniki-tipa-downlight/Chalice_Pro'}
INFO:root:Парсим CHAL PRO LED1100-840 HFIX RMB W6 в категории {'name': 'Chalice Pro', 'url': 'http://www.thornlighting.ru/ru-ru/produkty/vnutriennieie-osvieshchieniie/svietilniki-tipa-downlight/Chalice_Pro'}
INFO:root:Парсим CHAL PRO LED2000-830 HFIX RMB W6 в категории {'name': 'Chalice Pro', 'url': 'http://www.thornlighting.ru/ru-ru/produkty/vnutriennieie-osvieshchieniie/svietilniki-tipa-downlight/Chalice_Pro'}
INFO:root:Парсим CHAL PRO LED2000-840 HFIX RMB W6 в категории {'name': 'Chalice Pro', 'url': 'http://www.thornlighting.ru/ru-ru/produkty/vnutriennieie-osvieshchieniie/svietilniki-tipa-downlight/Chalice_Pro'}
INFO:root:Парсим CHAL PRO LED3000-830 HFIX RMB W6 в категории {'name': 'Chalice Pro', 'url': 'http://www.thornlighting.ru/ru-ru/produkty/vnutriennieie-osvieshchieniie/svietilniki-tipa-downlight/Chalice_Pro'}
INFO:root:Парсим CHAL PRO LED1100-830 HFIX RSB W6 в категории {'name': 'Chalice Pro', 'url': 'http://www.thornlighting.ru/ru-ru/produkty/vnutriennieie-osvieshchieniie/svietilniki-tipa-downlight/Chalice_Pro'}
INFO:root:Парсим CHAL PRO LED1400-927-65 HFIX RSB в категории {'name': 'Chalice Pro', 'url': 'http://www.thornlighting.ru/ru-ru/produkty/vnutriennieie-osvieshchieniie/svietilniki-tipa-downlight/Chalice_Pro'}
INFO:root:Парсим CHAL PRO LED2000-840 HFIX RSB W6 в категории {'name': 'Chalice Pro', 'url': 'http://www.thornlighting.ru/ru-ru/produkty/vnutriennieie-osvieshchieniie/svietilniki-tipa-downlight/Chalice_Pro'}
INFO:root:Парсим CHAL PRO LED3000-830 HFIX RSB W6 в категории {'name': 'Chalice Pro', 'url': 'http://www.thornlighting.ru/ru-ru/produkty/vnutriennieie-osvieshchieniie/svietilniki-tipa-downlight/Chalice_Pro'}
INFO:root:Парсим CHAL PRO LED1100-830 HF RMB W6 в категории {'name': 'Chalice Pro', 'url': 'http://www.thornlighting.ru/ru-ru/produkty/vnutriennieie-osvieshchieniie/svietilniki-tipa-downlight/Chalice_Pro'}
INFO:root:Парсим CHAL PRO LED2000-830 HF RMB W6 в категории {'name': 'Chalice Pro', 'url': 'http://www.thornlighting.ru/ru-ru/produkty/vnutriennieie-osvieshchieniie/svietilniki-tipa-downlight/Chalice_Pro'}
INFO:root:Парсим CHAL PRO LED3000-830 HF RMB W6 в категории {'name': 'Chalice Pro', 'url': 'http://www.thornlighting.ru/ru-ru/produkty/vnutriennieie-osvieshchieniie/svietilniki-tipa-downlight/Chalice_Pro'}
INFO:root:Парсим CHAL PRO LED1100-830 HF E3 RMB W6 в категории {'name': 'Chalice Pro', 'url': 'http://www.thornlighting.ru/ru-ru/produkty/vnutriennieie-osvieshchieniie/svietilniki-tipa-downlight/Chalice_Pro'}
INFO:root:Парсим CHAL PRO LED1100-840 HF E3 RMB W6 в категории {'name': 'Chalice Pro', 'url': 'http://www.thornlighting.ru/ru-ru/produkty/vnutriennieie-osvieshchieniie/svietilniki-tipa-downlight/Chalice_Pro'}
INFO:root:Парсим CHAL PRO LED2000-830 HF E3 RMB W6 в категории {'name': 'Chalice Pro', 'url': 'http://www.thornlighting.ru/ru-ru/produkty/vnutriennieie-osvieshchieniie/svietilniki-tipa-downlight/Chalice_Pro'}
INFO:root:Парсим CHAL PRO LED2000-840 HF E3 RMB W6 в категории {'name': 'Chalice Pro', 'url': 'http://www.thornlighting.ru/ru-ru/produkty/vnutriennieie-osvieshchieniie/svietilniki-tipa-downlight/Chalice_Pro'}
INFO:root:Парсим CHAL PRO LED3000-830 HF E3 RMB W6 в категории {'name': 'Chalice Pro', 'url': 'http://www.thornlighting.ru/ru-ru/produkty/vnutriennieie-osvieshchieniie/svietilniki-tipa-downlight/Chalice_Pro'}
INFO:root:Парсим CHAL PRO LED3000-840 HF E3 RMB W6 в категории {'name': 'Chalice Pro', 'url': 'http://www.thornlighting.ru/ru-ru/produkty/vnutriennieie-osvieshchieniie/svietilniki-tipa-downlight/Chalice_Pro'}
INFO:root:Парсим CHAL PRO LED1100-830 HFIX E3 RMB W6 в категории {'name': 'Chalice Pro', 'url': 'http://www.thornlighting.ru/ru-ru/produkty/vnutriennieie-osvieshchieniie/svietilniki-tipa-downlight/Chalice_Pro'}
INFO:root:Парсим CHAL PRO LED1100-840 HFIX E3 RMB W6 в категории {'name': 'Chalice Pro', 'url': 'http://www.thornlighting.ru/ru-ru/produkty/vnutriennieie-osvieshchieniie/svietilniki-tipa-downlight/Chalice_Pro'}
INFO:root:Парсим CHAL PRO LED2000-830 HFIX E3 RMB W6 в категории {'name': 'Chalice Pro', 'url': 'http://www.thornlighting.ru/ru-ru/produkty/vnutriennieie-osvieshchieniie/svietilniki-tipa-downlight/Chalice_Pro'}
INFO:root:Парсим CHAL PRO LED2000-840 HFIX E3 RMB W6 в категории {'name': 'Chalice Pro', 'url': 'http://www.thornlighting.ru/ru-ru/produkty/vnutriennieie-osvieshchieniie/svietilniki-tipa-downlight/Chalice_Pro'}
INFO:root:Парсим CHAL PRO LED3000-830 HFIX E3 RMB W6 в категории {'name': 'Chalice Pro', 'url': 'http://www.thornlighting.ru/ru-ru/produkty/vnutriennieie-osvieshchieniie/svietilniki-tipa-downlight/Chalice_Pro'}
